zemlja,ulazak,opis,azurirano
MADjARSKA,❌,"
Državljani Srbije ne mogu uđu u Mađarsku ukoliko je razlog putovanja turistički. Ulazak u Mađarsku u privatne svrhe je moguć samo na osnovu dobijene saglasnosti od mađarske policije. Zahtev se podnosi preko sajta <a href=""http://www.police.hu"">www.police.hu</a>, na mađarskom ili engleskom jeziku. Uz molbu se prilažu dokazi o razlozima putovanja (lečenje, školovanje, poslovne aktivnosti, pozivi na suđenje, porodični događaji, učešće na sportskim, kulturnim i verskim događajima od posebnog značaja i dr). Licu koje dobije saglasnost za ulazak u Mađarsku biće određen obavezan karantin u trajanju od 14 dana. Za vreme karantina moguće je testiranje o svom trošku. U slučaju dva negativna testa, urađena od strane mađarskih zdravstvenih organa u roku od 5 dana sa razmakom od najmanje 48 sati, moći će da se napusti karantin.
Državljani Srbije mogu da tranzitiraju kroz Mađarsku pod određenim uslovima (utvrđena maršruta, zaustavljanje na predviđenim mestima, zemlja se mora napustiti u roku od 24 sata) i ukoliko pruže čvrsti dokazi o ispunjenosti uslova za ulazak u susednu zemlju prema kojoj napuštaju teritoriju Mađarske.
Od 11.novembra zbog mere ograničenja kretanja u periodu od 20.00 do 05.00 časova, lica koja doputuju na međunarodni aerodrom „List Ferenc"" u Budimpeštu u večernjim i noćnim časovima dozvoljeno je da napuste aerodrom, ali su dužni da u što kraćem periodu tranzitiraju i, bez svraćanja u naseljena mesta, napuste teritoriju Mađarske. Prilikom eventualnog zaustavljanja i provere od strane mađarske policije, potrebno je da se pokaže avionska karta. Lica koja ulaze u Mađarsku radi odlaska preko aerodroma „List Ferenc"" u neku drugu zemlju treba da pruže dokaz da putuju do aerodroma (avionska karta), kao i dokaz o ispunjenosti uslova za ulazak u zemlju krajnje destinacije.
Državljani Srbije koji rade u pograničnoj zoni ulaze u Mađarsku bez ograničenja (posedovanja negativnog testa na COVID-19). Oni mogu da borave u Mađarskoj u dubini do 30 km od granice, najduže do 24 sata. Zbog mere ograničenja kretanja, Mađarska mora da se napusti najkasnije do 20.00 časova. Izuzetak čine samo ona lica koja zbog radnih obaveza u Mađarskoj moraju da ostanu duže (najviše do 24 sata) što dokazuju potvrdom u obliku popunjenog formulara overenog od strane poslodavca.
Za kršenje propisa može da se izrekne kazna u visini od 5.000 do 150.000 forinti (140 do 420 evra).
Navedene mere se ne primenjuju na lica koja prelaze granicu Mađarske u teretnom saobraćaju.

",05.01.2021.
MALAVI,❌,"
Državljani Srbije ne mogu da uđu u Malavi osim lica sa regulisanim boravkom. Obavezan je karantin od 14 dana. Moguć je tranzit iz susednih država ali isključivo u slučaju organizovanog leta, odnosno napuštanja zemlje (i regiona), uz prezentovanje negativnog testa, ne starijeg od 72 sata.

",05.01.2021.
MALI,❌,"
Državljani Srbije ne mogu da uđu u Mali.
Nije moguć ulazak stranih državljana u Mali. Zatvoreni su svi granični prelazi i obustavljen je međunarodni putnički saobraćaj – vazdušni i kopneni. Izuzetak predstavljaju predstavnici stranih diplomatko-konzularnih predstavništava i radnici humanitarnih misija kojima je, uz prethodnu notifikaciju, dozvoljen ulazak na teritoriju Malija.

",05.01.2021.
MALDIVI,✅🧪,"
Državljani Srbije, kao i ostali strani državljani, mogu da uđu na Maldive. Od 10. septembra je neophodno da strani državljani poseduju negativan PCR test, ne stariji od 72 sata.

",05.01.2021.
MALEZIJA,❌,"
Državljani Srbije ne mogu da uđu u Maleziju osim ukoliko imaju boravak u ovoj zemlji. Obavezan je karantin od 14 dana. Pre puta, potrebno je kontaktirati najbližu Ambasadu Malezije

",05.01.2021.
MALTA,❌,"
Državljani Srbije ne mogu da uđu na Maltu. Izuzetak su lica koja su prethodnih 14 dana boravili u jednoj od „zemalja zelene liste"" („zelena lista"" se može naći na <a href=""https://www.visitmalta.com/en/reopening-airport"">https://www.visitmalta.com/en/reopening-airport</a> ). U tom slučaju ne postoji obaveza karantina ili negativnog testa (preporučuje se da lica imaju negativan test). Za lica koja dolaze iz „zemalja Amber liste"" („Amber lista"" se može naći na <a href=""https://www.visitmalta.com/en/reopening-airport"">https://www.visitmalta.com/en/reopening-airport</a> ), je obavezan negativni PCR test, ne stariji od 72 sata.

",05.01.2021.
MAROKO,❌,"
Državljani Srbije ne mogu da uđu u zemlju osim lica koja imaju regulisan boravak. Neophodan je negativan PCR test, ne stariji od 72 sata.

",05.01.2021.
MAURITANIJA,✅,"
Državljani Srbije mogu da uđu u Mauritaniju. Neophodan je negativni PCR test, ne stariji od 72 sata.

",05.01.2021.
MAURICIJUS,❌,"
Državljani Srbije ne mogu da uđu u Mauricijus osim lica sa regulisanim boravkom. Obavezan je karantin od 14 dana. Granice Mauricijusa su zatvorene a komercijalni letovi obustavljeni.

",05.01.2021.
MEKSIKO,✅,"
Državljani Srbije mogu, uz posedovanje odgovarajuće vize, bez posebnih ograničenja da uđu u Meksiko. Meksiko nije usvojio ograničenja ulaska stranaca u zemlju, ali se preduzimaju odgovarajuće mere ukoliko osobe ispoljavaju simptome na korona virus. Po dolasku u Meksiko, putnici su dužni da popune upitnik za identifikaciju faktora rizika (<a href=""https://afac.hostingerapp.com/"" target=""_blank"">https://afac.hostingerapp.com/</a>).

",05.01.2021.
MJANMAR,,"
Za državljane Srbije, kao i za državljane svih drugih zemalja, ne postoji mogućnost ulaska u Mjanmar, imajući u vidu da su granični prelazi zatvoreni i da su suspendovani svi međunarodni komercijalni avio-letovi. Za strance koji dolaze „humanitarnim"" i „specijalnim"" letovima u Mjanmar, potrebna je odgovarajuća viza i potvrda o negativnom testu, ne starijem od 72 sata, kao i potvrda o provedenih sedam dana u „kućnom karantinu"" u zemlji iz koje se dolazi. Nakon ulaska u Mjanmar, obavezan je boravak u „hotelskom karantinu"" u trajanju od 7 dana, uključujući dodatnih 7 dana boravka u „kućnom karantinu"" (za diplomate i predstavnike UN, koji žive u apartmanima, 7 dana u „hotelskom karantinu"" određenom od strane Ministarstva zdravlja i sporta, odnosno 7 dana u „kućnom karantinu"", ukoliko žive u „zasebnim kućama"", uključujući dodatnih 7 dana u „kućnom karantinu""), nakon čega se vrši test na COVID-19.

",05.01.2021.
MOZAMBIK,❌,"
Državljani Srbije ne mogu da uđu u Mozabik osim lica sa regulisanim boravkom. Obavezan je karantin od 14 dana. Moguć je tranzit iz susednih država ali isključivo u slučaju organizovanog leta, odnosno napuštanja zemlje (i regiona) kao i prevoza karga, uz prezentovanje negativnog testa, ne starijeg od 72 sata.

",05.01.2021.
MOLDAVIJA,❌,"
Državljani Srbije, kao ni strani državljani, ne mogu ući u Moldaviju, ukoliko dolaze iz zemalja koje se nalaze u tzv. „crvenoj zoni"" (Srbija, Rumunija, Ukrajina), osim ako ne poseduju vizu, dozovolu boravka ili spadaju u grupu izuzetih od zabrane ulaska (detaljnije na sajtu Ambasade Srbije u Bukureštu: <a href=""http://www.bucharest.mfa.gov.rs"">http://www.bucharest.mfa.gov.rs</a>).
Za sva lica koja ulaze na teritoriju Moldavije iz zemalja koje se nalaze u tzv. „crvenoj zoni"", a spadaju u grupu izuzetih od zabrane, obavezna je mera samoizolacije u trajanju od 14 dana. Izuzetak predstavljaju: studenti, članovi posada, diplomate, putnici u tranzitu, lica koja pružaju zdravstvenu zaštitu.

",05.01.2021.
MONAKO,❌,"
Državljanima Srbije nije dozvoljen ulazak u Monako, osim ukoliko imaju regulisan boravak. Za putnike koji dolaze iz Srbije obavezan je negativan PCR test ne stariji od 72 sata (osim za decu mlađu od 11 godina).
Ne dozvoljava se ulazak stranim državljanima koji su u prethodnih 14 dana boravili u Srbiji ili u nekoj od zemalja pogođenih zaraznom bolešću COVID 19 (sve zemlje osim Alžira, Australije, Kanade, Gruzije, Japana, Maroka, Novog Zelanda, Ruande, Južne Koreje, Tajlanda, Tunisa i Urugvaja). Ovo se ne odnosi na putnike koji imaju regulisan boravak u Monaku, hitne slučajeve i putovanja humanitarnog karaktera. Za putnike koji dolaze iz Srbije i sledećih petnaest zemalja (Alžir, Bahrein, Brazil, Indija, Izrael, Južnoafrička Republika, Kuvajt, Katar, Madagaskar, Oman, Panama, Peru, SAD, Turska i UAE) je obavezan negativan PCR test, ne stariji od 72 sata.

",05.01.2021.
MONGOLIJA,❌,"
Državljanima Srbije nije dozvoljen ulazak ni tranzitiranje preko Mongolije.

",05.01.2021.
NAMIBIJA,❌,"
Državljani Srbije ne mogu da uđu u Namibiju osim lica sa regulisanim boravkom. Neophodan je negativan test, ne stariji od 72 sata. Moguć je tranzit iz susednih država ali isključivo u slučaju organizovanog repatriacinog leta, odnosno napuštanja zemlje (i regiona) uz prezentovanje negativnog testa, ne starijeg od 72 sata.

",05.01.2021.
NAURU,❌,"
Svim stranim državljanima, uključujući i državljane Srbije, koji su tranzitirali preko ili boravili u Kini, Hong Kongu, Makau, Južnoj Koreji, Italiji i Iranu u poslednjih 21 dan pre nameravanog dolaska na Nauru (osim kada lice prođe medicinsku proveru, obavezan karantin u trajanju od 14 dana pre dolaska na Nauru i dobije odobrenje zdravstvenog departmana), do daljnjeg je zabranjen ulazak u zemlju. Svi putnici su u obavezi da popune zdravstvenu deklaraciju pri dolasku i podvrgnu se zdravstvenom pregledu.

",05.01.2021.
NEMAČKA,❌,"
Državljani Srbije ne mogu putovati u Nemačku osim lica koja imaju boravišnu dozvolu ili nacionalnu D vizu SR Nemačke. Lica koja imaju boravišnu dozvolu u drugim državama članicama EU, Velikoj Britaniji, Islandu, Lihtenštajnu, Norveškoj ili Švajcarskoj mogu ući u Nemačku samo ukoliko se vraćaju u mesto stalnog boravka.
Obavezan je karantin. Postoji mogućnost testiranja i ukoliko je test negativan, prestaje obaveza karantina. Nemački državljani i stranci sa stalnim boravkom u SRN se obavezno testiraju kada se vraćaju iz tzv. ""rizičnih zemalja"". Listu ovih zemalja objavljuje Institut Robert Koh (<a href=""http://www.rki.de"" target=""_blank"">www.rki.de</a>). Lica koja su poslednjih deset dana boravila u jednoj od tzv. „rizičnih oblasti"" unapred mora da prijave putovanje preko sajta <a href=""http://www.Einreiseanmeldung.de"" target=""_blank"">www.Einreiseanmeldung.de</a>. Preporučuje se svim putnicima da se informišu o konkretnim obavezama nakon ulaska u Nemačku, zbog različitih mera u pogledu karantina u pojedinim nemačkim pokrajinama.
Tranzit je moguć, ukoliko državljani Srbije imaju pravo ulaska u zemlju u koju putuju i poseduju dokaz o svrsi i krajnjoj destinaciji putovanja. Tranzit mora biti obavljen najkraćim mogućim putem i bez nepotrebnog zadržavanja.
Državljani Srbije koji poseduju nemačku nacionalnu vizu mogu da uđu u Nemačku ako su bračni partneri i maloletna deca osobe koja živi u Nemačkoj, stručna radna snaga i visoko kvalifikovani stručnjaci, čije je prisustvo neodložno i neophodno iz ekonomskih razloga (potreban dokaz), medicinski stručnjaci, medicinsko i gerontološko osoblje sa nostrifikovanim ili delimično priznatim diplomama, studenti sa potvrdom o upisu i potvrdom visokoškolske ustanove da je prisustvo nastavi neophodno i da studiranje na daljinu nije moguće.
Državljani Srbije mogu putovati u Nemačku bez vize i nakon prethodnog odobrenja Savezne policije Nemačke u sledećim slučajevima: neodložna poslovna putovanja, hitni medicinski slučajevi uz prilaganje lekarskog uverenja o hitnosti i neophodnosti medicinskog tretmana bez čega bi došlo do pogoršanja stanja ili posledica po život i zdravlje. Prilikom prelaska granice, nužni medicinski razlozi moraju biti potkrepljeni odgovarajućim dokazima.
Hitna poslovna putovanja mogu biti realizovana ako se priloži dokaz o verodostojnosti i opravdanosti putovanja, a to je potvrda-izjava nemačkog poslodavca ili poslovnog partnera u Nemačkoj da je ulazak i u uslovima pandemije apsolutno neophodan. Potvrdu treba da ispuni i svojeručno potpiše isključivo nemački poslovni partner ili poslodavac u Nemačkoj, a razlozi za poslovni put treba da se obrazlože i dokumentuju i da se odnose samo na konkretno poslovno putovanje. Potvrda se može preuzeti sa linka: <a href=""https://www.bmi.bund.de/SharedDocs/downloads/DE/veroeffentlichungen/nachrichten/2020/erklaerung-unbedingte-erforderlichkeit-geschaeftsreise.pdf?__blob=publicationFile&amp;v=2"">https://www.bmi.bund.de/SharedDocs/downloads/DE/veroeffentlichungen/nachrichten/2020/erklaerung-unbedingte-erforderlichkeit-geschaeftsreise.pdf?__blob=publicationFile&amp;v=2</a> Putnik predočava potvrdu graničnoj kontroli u Nemačkoj sa kopijama ostalih dokumenata kojima se dokazuje opravdanost puta: pozivno pismo, potvrda o učešću na npr. sajmu ili konferenciji, rezervacija hotela, povratna karta, PCR test i dr.
Državljani Srbije koji su članovi uže porodice nemačkih državljana, državljana EU ili stranaca sa regulisanim pravom boravka u Nemačkoj (supružnici, registrovani životni partneri, maloletna deca ili roditelji maloletne dece), mogu u svrhu porodične posete putovati u Nemačku uz prilaganje dokumenata kojima dokazuju pripadnost užoj porodici.(izvod iz matične knjige rođenih ili venčanih na međunarodnom obrascu).
Lica koja su u nevenčanom odnosu sa državljaninom Nemačke ili državljaninom jedne od država članica EU mogu ući u Nemačku kratkoročno iz hitnog ličnog razloga (npr. venčanje, teška bolest ili sahrana bliskog srodnika partnera).
Poseta parova, koji su trenutno razdvojeni a pri čemu jedan od partnera, državljanin/državljanka treće zemlje, želi da poseti svog partnera u Nemačkoj, je moguća uz pružanje sledećih dokaza na graničnom prelazu:
- pozivno pismo partnera koji živi u Nemačkoj uz kopiju njegovih/njenih ličnih dokumenata,
- zajedničku izjavu oba partnera o vezi sa kontakt podacima oba partnera, (<a href=""https://www.bundespolizei.de/Web/DE/04Aktuelles/01Meldungen/2020/03/200317_faq_down2.pdf?__blob=publicationFile&amp;v=1"">https://www.bundespolizei.de/Web/DE/04Aktuelles/01Meldungen/2020/03/200317_faq_down2.pdf?__blob=publicationFile&amp;v=1</a>)
- druge dokaze o prethodnim ličnim susretima u adekvatnoj formi, pre svega pečati u pasošu, putna dokumentacija/avionske karte ili zajednička prijava boravka izvan Nemačke; kao alternativa navedenim dokazima moguće je priložiti i dodatnu dokumentaciju u vidu fotografija, istorije kontakta na društvenim mrežama, pisma ili mejlove.
Konačnu procenu i odluku o ulasku u Nemačku donosi postupajući službenik granične policije.
Svaka nemačka pokrajina ima pravo da menja i donosi posebna pravila o zaštiti od širenja epidemije.

",05.01.2021.
NIGER,✅🧪,"
Državljani Srbije mogu da uđu u Niger. Neophodan je negativan PCR test, ne stariji od 72 sata. Ukoliko putnik ne poseduje test, podvrgava se zdravstvenom pregledu i testiranju o svom trošku.

",05.01.2021.
NIGERIJA,✅🧪,"
Državljani Srbije mogu da uđu u Nigeriju. Neophodan je negativan PCR test, ne stariji od 72 sata. Najmanje 96 sati pre putovanja potrebno je prijaviti se elektronski preko sledećeg linka: <a href=""https://nitp.ncdc.gov.ng/onboarding/homepage"">https://nitp.ncdc.gov.ng/onboarding/homepage</a>. Putnici po dolasku prolaze kroz medicinsku kontrolu. Obavezna je samoizolacija od sedam dana. Sedmog dana lice je dužno da se javi u izabranu laboratoriju radi ponovnog testiranja. Rezulatat se dobija u roku od 24 do 48 sati. Po dobijanju negativnog testa, lice može da napusti samoizolaciju. Lica sa pozitivnim rezultatom se smeštaju u odgovarajuću zdravstvenu ustanovu. Za lica koja se ne pridržavaju mera predviđeno je oduzimanje putne isprave i zabrana putovanja do šest meseci.

",05.01.2021.
NIKARAGVA,✅🧪,"
Državljani Srbije mogu da uđu u Nikaragvu. Neophodan je negativan PCR test, ne stariji od 72 sata.

",05.01.2021.
NOVI ZELAND,❌,"
Državljani Srbije ne mogu da uđu u zemlju, osim onih lica koja imaju odobren stalni boravak i članova njihove uže porodice. Mogućnost ulaska postoji ako su u pitanju humanitarni ili dovoljno ubedljivi razlozi, uz prethodno pribavljanje dozvole od strane nadležnih organa. Obavezan je karantin od 14 dana. Sva lica se po dolasku u zemlju testiraju na COVID-19. Tranzit je dozvoljen uz posedovanje tranzitne vize (uz obavezu da vreme provedeno u tranzitu bude maksimalno 24 sata). Tranzit je dozvoljen samo preko aerodroma u Oklandu.
Ulazak na Novi Zeland dozvoljen je samo državljanima Novog Zelanda, licima koja imaju odobren stalni boravak i članovima njihovih užih porodica, kao i državljanima Australije koji obično prebivaju na Novom Zelandu.

",05.01.2021.
NORVEŠKA,✅🧪,"
Državljani Srbije mogu ući u Norvešku ako imaju regulisan boravak u zemlji ili norveško državljanstvo.
U Norvešku mogu ući strani državljani, ako dolaze u posetu: supružnicima ili registrovanim partnerima; partnerima sa kojima imaju decu ili žive zajedno duže od dve godine; deci ili pastorcima mlađim od 21 godine; roditeljima i supružnicima roditelja (očuh/maćeha); emotivnom partneru sa kojim su u vezi najmanje devet meseci i sa kojim su se najmanje jednom fizički sreli - obrazac koji se popunjava nalazi se u sledećem linku: <a href=""https://www.udi.no/globalassets/global/aktuelt/korona/solemn-declaration-on-relationship_e.pdf"">https://www.udi.no/globalassets/global/aktuelt/korona/solemn-declaration-on-relationship_e.pdf</a>.
U Norvešku mogu ući i: deca i usvojena deca starija od 21 godine osoba koja žive u Norveškoj, roditelji/očusi/maćehe dece starije od 21 godine koja žive u Norveškoj; babe i dede/babe i dede po usvojenju osoba koje žive u Norveškoj; unuci /unuci po usvojenju osoba koje žive u Norveškoj; deca iz partnerskih veza, supružnici, registrovani partneri i deca Norvežana koji žive u inostranstvu, a putuju u Norvešku zajedno sa norveškim državljaninom; državljani iz zemalja EEA sporazuma i njihovi članovi porodica koji žive u trećim zemljama.
Za lica koja nemaju regulisan boravak niti norveško državljanstvo obavezan je negativan PCR test ili brzi antigen test, ne stariji od 72 sata, kao i desetodnevni hotelski karantin. Detaljne informacije se mogu naći u sledećim linkovima:
<a href=""https://www.regjeringen.no/en/aktuelt/requirement-of-negative-covid-19-test-to-enter-norway/id2784181/"">https://www.regjeringen.no/en/aktuelt/requirement-of-negative-covid-19-test-to-enter-norway/id2784181/</a>
<a href=""https://www.regjeringen.no/en/aktuelt/the-corona-situation-more-information-about-quarantine-hotels/id2784377/"">https://www.regjeringen.no/en/aktuelt/the-corona-situation-more-information-about-quarantine-hotels/id2784377/</a>
Izuzetak od boravka u hotelskom karantinu je moguć ukoliko se priloži potvrda o adekvatnom mestu na kojem se može provesti karantin. Ova potvrda može biti data u formi popunjenog obrasca koji se nalazi na linku avkrysningsskjema_karantenehotell_engelsk.pdf (regjeringen.no). Boravak u karantinu se može skratiti na sedam dana, nakon urađena dva PCR testa, prvi u tri dana od dolaska, a drugi sedmog dana od dolaska.
Obavezna je registracija svih lica koja ulaze u Norvešku. Formular koji je potrebno popuniti nalazi se na linku: <a href=""https://www.regjeringen.no/en/aktuelt/government-introduced-registration-requirement-for-all-people-entering-norway/id2815594/"">https://www.regjeringen.no/en/aktuelt/government-introduced-registration-requirement-for-all-people-entering-norway/id2815594/</a>
",05.01.2021.
OMAN,✅,"
Državljani Srbije mogu bez ograničenja da uđu ili tranzitiraju u Sultanat Oman bez posedovanja korona testova. Mere sanitarne predostrožnosti se obavljaju prilikom sletanja, meri telesna temperatura putnika i eventualno se upućuju u karantin oni putnici sa simptomima bolesti.
Sultanat Oman nema listu zemalja sa zabranom za ulazak stranih državljana.

",05.01.2021.
PALAU,✅,"
Državljani Srbije mogu bez ograničenja da uđu ili tranzitiraju. Neophodno je da prilikom ulaska popune formular o zdravstvenom stanju i da budu podvrgnuti zdravstvenom pregledu. Zabranjen je ulazak za one državljane Srbije koji su prethodnih 14 dana boravili ili tranzitirali u NR Kini (uključujući Hong Kong i Makao) ili su boravili na putničkim kruzerima koji su pristajali u luke zemalja koje su pogođene bolešću COVID-19.
Navedeno se odnosi na sve strane državljane.

",05.01.2021.
PALESTINA,❌,"
Državljani Srbije ne mogu da uđu niti da tranzitiraju preko teritorije Palestine.

",05.01.2021.
PAKISTAN,✅,"
Državljanima Srbije je dozvoljen ulazak u Pakistan. Na aerodromu se kontroliše temperatura. Za lica koja pokažu simptome medicinsko osoblje na aerodromu odlučuje da li će zahtevati test na koronu. U slučaju pozitivnog testa, obavezna je mera izolacije u bolničkim ili uličnim uslovima.

",05.01.2021.
PANAMA,✅🧪,"
Državljani Srbije mogu da uđu u Panamu. Neohodan je negativan PCR test, ne stariji od 48 sati. I za tranzit se zahteva posedovanje negativnog PCR testa, uz zabranu napuštanja aerodroma.

",05.01.2021.
PAPUA NOVA GVINEJA,❌,"
Svim stranim državljanima, uključujući i državljane Srbije, do daljnjeg je zabranjen ulazak u Papua Novu Gvineju. Izuzetak su lica sa specijalnim odobrenjem nadležnih organa. Obavezan je negativan PCR test, ne stariji od sedam dana.

",05.01.2021.
PARAGVAJ,❌,"
Državljani Srbije ne mogu ući u Paragvaj osim lica koja imaju regulisan boravak i nosioci diplomatskih i službenih pasoša sa važećom vizom. Obavezan je karantin od 14 dana, koji može biti skraćen na 7 dana ukoliko se u tom periodu urade dva testa. Takođe se zahteva prethodno slanje elektronskim putem tzv. izjave o odgovornosti da je putnik upoznat sa svim sanitarnim propisima i procedurama u Paragvaju.

",05.01.2021.
PERU,✅🧪,"
Državljani Srbije mogu ući u Peru.
Strani državljani mogu ući u zemlju vazdušnim putem, a uslov za ukrcavanje u avion je negativan PCR test, ne stariji od 72 sata. Takođe se zahteva prethodno slanje elektronskim putem tzv. izjave o odgovornosti da je putnik upoznat sa svim sanitarnim propisima i procedurama u Peru.
Kopnene granice su još uvek pod restriktivnim režimima lokalnih vlasti, koje izdaju posebna odobrenja. Kontakt e-mejlovi za dodatne informacije su: 
 Ova adresa el. pošte zaštićena je od spam napada, treba omogućiti JavaSkript da biste je videli
  i 
 Ova adresa el. pošte zaštićena je od spam napada, treba omogućiti JavaSkript da biste je videli
 .

",05.01.2021.
POLjSKA,❌,"
Državljani Srbije ne mogu da uđu i borave na teritoriju Poljske, osim lica koja imaju regulisan boravak. Tranzit preko teritorije Poljske je dozvoljen samo državljanima Srbije koji poseduju regulisan boravak u nekoj od zemalja EU a u cilju povratka u mesto svog prebivališta. Nije potreban test.
Dozvoljen je ulazak državljanima zemalja EU, EFTA i Švajcarske Konfederacije, kao i tranzit državljanima trećih zemalja koji imaju regulisan boravak u ovim zemljama. Takođe, dozvoljen je i ulazak državljanima Crne Gore, Gruzije, Japana, Kanade, Albanije i R. Koreje.

",05.01.2021.
PORTUGALIJA,❌,"
Državljani Srbije ne mogu da uđu u Portugaliju, osim lica koja imaju regulisan boravak. Kada su u pitanju nužna (neturistička) putovanja, ulazak je dozvoljen i licima po druga dva osnova 1) ukoliko imaju regulisan boravak u nekoj od država članici EU 2) u slučaju profesionalnih razloga, radi studiranja, spajanja porodice, iz zdravstvenih i humanitarnih razloga – sve navedeno na bazi reciprociteta.
Za putnike koji dolaze iz Srbije, neophodan je negativan PCR test, ne stariji od 72 sata, osim za decu do dve godine starosti.
Putnici koji su tranzitu i ne napuštaju aerodrom nisu u obavezi da imaju test.

",05.01.2021.
RUANDA,✅🧪,"
Državljani Srbije mogu da uđu u Ruandu. Državljani Srbije, kao i svi putnici, uključujući i one koji su u tranzitu, u obavezi su da poseduju negativan PCR test, ne stariji od 72 sata. Po ulasku u Ruandu, putnici se dodatno testiraju a rezultati PCR testa dobijaju se u roku od 24 sata. Do trenutka dobijanja rezultata testa, putnici se smeštaju u hotele koji su namenjeni za tu svrhu i to o svom trošku.

",05.01.2021.
RUMUNIJA,❌,"
Državljani Srbije, kao ni strani državljani, ne mogu ući u Rumuniju, ukoliko nemaju regulisan boravak ili poseduju odgovarajuću vizu.
U Rumuniju mogu ući lica koja putuju poslovno i prilože dokaze o poslovnoj saradnji sa privrednim subjektima u Rumuniji (pozivno pismo ili ugovor o radu); studenti, prekogranični radnici, sezonski poljoprivredni radnici, medicinsko osoblje, pomorsko i rečno osoblje, članovi međunarodnih sportskih delagacija, filmski radnici i umetnici.
Za sva lica koja iz Srbije ulaze u Rumuniju, a kojima je dozvoljen ulazak, obavezna je mera samoizolacije u trajanju od 14 dana.
Tranzit kroz Rumuniju je moguć.

",05.01.2021.
RUSKA FEDERACIJA,✅🧪,"
Državljani Srbije mogu ući u Rusku Federaciju isključivo direktnim letom na relaciji Beograd - Moskva preko avio kompanija „Air Serbia"" i „Aeroflot"". Neophodan je negativan PCR test, ne stariji od 72 sata.
Državljani Srbije koji u Rusku Federaciju dolaze iz drugih pravaca, sa presedanjem u nekoj trećoj zemlji (na primer Istanbulu) ili drumskim putem, neophodno je da poseduju posebnu dozvolu za ulazak Kriznog štaba Ruske Federacije.

",05.01.2021.
SAMOA,❌,"
Svim stranim državljanima, uključujući i državljane Srbije, do daljnjeg je zabranjen ulazak u zemlju.

",05.01.2021.
SAN MARINO,✅,"
Državljani Srbije mogu da uđu u San Marino ili tranzitiraju uz obavezu prethodne prijave Ministarstvu inostranih poslova San Marina, putem e-mejla: 
 Ova adresa el. pošte zaštićena je od spam napada, treba omogućiti JavaSkript da biste je videli
  ili telefonski: 00378/549888888. Po dolasku obavezno je podvrgavanje serološkom testu. U slučaju pozitivnog rezultata lice se podvrgava molekuralnom testu i ukoliko rezultat bude pozitivan podleže kućnoj samoizolaciji u trajanju od 14 dana.

",05.01.2021.
SAO TOME I PRINCIPE,✅,"
Državljani Srbije mogu da uđu u zemlju uz negativan test, ne stariji od 72 sata.

",05.01.2021.
SAD,❌,"
Državljani Srbije mogu da uđu u SAD sa svim tipovima američkih viza, bez posedovanja negativnog PCR testa i uz preporučenu 14-dnevnu samoizolaciju.
U SAD ne mogu da uđu lica koja su tokom prethodnih 14 dana boravili u NR Kini (osim Hong Konga i Makao), Iranu, 26 zemalja Šengen zone, V. Britaniji i Brazilu. Pod boravkom se smatra i tranzitiranje kroz međunarodnu zonu aerodroma. Izuzetak su državljani SAD i lica koja imaju stalni boravak u SAD, strane diplomate (vize A, G), članovi porodica građana SAD (supruge, neoženjena/neudata deca mlađa od 21 godine, roditelji, neudata/neoženjena braća i sestre mlađi od 21 godinu, posade aviona i brodova (vize C, D, C1/D).
Međutim, treba imati u vidu da savezne države SAD imaju pravo donošenja sopstvenih propisa u pogledu putnih restrikcija, koje se odnose i na međunarodne putnike.
Za Distrikt Kolumbija (Washinton DC) je obavezan PCR test, ne stariji od 72 sata. Preporučuje se da lica koja planiraju duži boravak u Distriktu Kolumbija urade novi test između trećeg i petog dana po dolasku.
",05.01.2021.
Država Njujork,✅🧪," zahteva od svih putnika, bilo da je reč o turistima ili stalno nastanjenim licima koja se vraćaju u Njujork, da prilikom dolaska popune Zdravstveni obrazac za putnike (Travel Health Form <a href=""https://forms.ny.gov/s3/Welcome-to-New-York-State-Traveler-Health-Form"">https://forms.ny.gov/s3/Welcome-to-New-York-State-Traveler-Health-Form</a>). Od putnika se očekuje da prilikom dolaska poseduju negativan PCR test, ne stariji od 72 sata. Putnici koji ne poseduju test se upućuju u obavezni 14-dnevni karantin. Putnici koji poseduju negativan PCR test se takođe upućuju u karantin, s tim da oni imaju mogućnost da četvrtog dana po dolasku o svom trošku ponove test i, ukoliko je rezultat testa negativan, prekinu karantin. Obaveze testa i karantina se ne odnose na putnike koji, tranzitirajući kroz državu Njujork na putu ka krajnjem odredištu, u Njujorku provedu manje od 24 sata.
Kad je reč o putovanju u ",05.01.2021.
Portoriko,✅🧪,", svi putnici pre dolaska na ostrvo moraju popuniti obrazac Putne deklaracije dostupnu na sajtu Ministarstva zdravlja Portorika (Travel Declaration Form <a href=""https://app.travelsafe.pr.gov/"">https://app.travelsafe.pr.gov/</a> ). Putnici moraju prilikom dolaska posedovati negativan PCR test, ne stariji od 72 sata. U protivnom, putnici se upućuju u obavezni 14-dnevni karantin. Putnici imaju mogućnost da, po dolasku na ostrvo, o svom trošku urade test i, u slučaju negativnog rezultata, prekinu karantin.
",05.01.2021.
